MaxReturn,TransfBits,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,AverageReturn
509.6819236458962,10096,23,5,151.81250866015117,39.95159477169327,157.50535103446333,1.3892985519394687,0.9707949750206489,4.0120348316923975,0.1275223176144894,175.54675927860853
819.8611039816994,20192,8,10,403.02319712365,189.92668585116775,186.53262898205426,1.3488858886643311,0.9323447357538993,3.8531303223011912,0.3806727698697434,531.0024653460168
999.7382777567602,30288,4,15,633.7047442227877,999.3232723250974,0.15511964026774486,1.3244396947015133,0.909828791388683,3.760077973055383,0.8470009303071195,999.5808232773647
999.8809589849919,40384,5,20,626.0280042866106,899.6603804680651,40.00993498520777,1.3053583830732676,0.8926326489198461,3.6890109359044607,0.9704617210022488,979.6798622898584
999.8901954684926,50480,4,25,633.8339389248382,999.6522255147141,0.09125448250011976,1.2963872709238904,0.8846605540633794,3.656064409533104,0.999999428484137,999.8062981377183
999.7814060722156,60576,5,30,606.9917069823665,689.632057443671,124.01620603782477,1.2863017875478453,0.875783166373207,3.6193765510832283,0.8451855501780466,937.6644117958567
999.8197390093254,70672,4,35,633.8295958380129,999.6512079557249,0.06939150291070377,1.2771418398955519,0.8677976676246812,3.5863746300268904,0.9999994509784161,999.7698122493968
999.838934725485,80768,4,40,633.8446758566209,999.8014852798486,0.014783703570321455,1.2628322885935808,0.8554682966461408,3.535420652007269,0.9999994940568738,999.8140947939431
999.8499283512668,90864,4,45,633.8282391341099,999.7241849147489,0.045897239431350365,1.2523836817690646,0.8465763797320972,3.4986727481783486,0.9875025645023184,999.7951033366203
999.8760322277798,100960,4,49,633.8631093061038,999.7378231646445,0.056389602660498625,1.2499589295935496,0.844526128493702,3.490199610601604,0.9999995072507414,999.8340671241318
